label,statement,cleaned_statement,label_encoded,binary_label
half-true,"Since President Obama took office, gas prices have gone up 67 percent.",since president obama took office gas prices have gone up  percent,2,1
mostly-true,Rick Scott tried to slash school funding by $3.3 billion.,rick scott tried to slash school funding by  billion,3,1
pants-fire,The health care reform bill would make it mandatory absolutely require that every five years people in Medicare have a required counseling session that will tell them how to end their life sooner.,the health care reform bill would make it mandatory absolutely require that every five years people in medicare have a required counseling session that will tell them how to end their life sooner,4,0
barely-true,"Before Act 10, the total cost of public sector employees employment was 29 percent higher than that in the private sector. After the act, its still 22 percent higher.",before act  the total cost of public sector employees employment was  percent higher than that in the private sector after the act its still  percent higher,0,0
false,"When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program.",when president franklin d roosevelt started social security it only affected widows and orphans and when medicare began it was a small program,1,0
true,The deficit was on track to top $1 trillion the year I took office.,the deficit was on track to top  trillion the year i took office,5,1
half-true,We paid down the debt for four years -- paid down $600 billion on the national debt.,we paid down the debt for four years  paid down  billion on the national debt,2,1
half-true,A vast majority of the production in the United States comes from small independent oil and gas companies.,a vast majority of the production in the united states comes from small independent oil and gas companies,2,1
mostly-true,"As part of legislative fights over abortion rights,Mike Coffman co-sponsored a bill to redefine rape.",as part of legislative fights over abortion rightsmike coffman cosponsored a bill to redefine rape,3,1
half-true,"An Army report stated Allen West performed illegal acts, merited court martial, faced 11 years in prison.",an army report stated allen west performed illegal acts merited court martial faced  years in prison,2,1
mostly-true,"Says each year approximately 30,000 people in the United States die as a result of gunfire, and about 80,000 people are wounded.",says each year approximately  people in the united states die as a result of gunfire and about  people are wounded,3,1
half-true,"In this city, there hasnt been a stadium thats lasted more than 27 years.",in this city there hasnt been a stadium thats lasted more than  years,2,1
mostly-true,"When he served as governor, Schwarzenegger preserved more land than any other gubernatorial administration in Californias history.",when he served as governor schwarzenegger preserved more land than any other gubernatorial administration in californias history,3,1
half-true,"More people are driving under the influence of drugs than are driving under the influence of alcohol. A recent roadside survey showed that 16 percent of the people tested, tested positive for illicit or licit drugs. Thats significantly higher than alcohol.",more people are driving under the influence of drugs than are driving under the influence of alcohol a recent roadside survey showed that  percent of the people tested tested positive for illicit or licit drugs thats significantly higher than alcohol,2,1
pants-fire,"Says Florida U.S. Reps. Corrine Brown, Alcee Hastings and Frederica Wilson are Socialists.",says florida us reps corrine brown alcee hastings and frederica wilson are socialists,4,0
mostly-true,Rep. Peter Petrarca voted on two pieces of legislation that helped auto body shops ... and at that point I think there is a conflict of interest.,rep peter petrarca voted on two pieces of legislation that helped auto body shops  and at that point i think there is a conflict of interest,3,1
false,Says Hillary Clinton refuses to testify before Congress about the 2012 attack in Benghazi.,says hillary clinton refuses to testify before congress about the  attack in benghazi,1,0
false,Commerce Secretary nominee John Bryson appears to endorse world government.,commerce secretary nominee john bryson appears to endorse world government,1,0
mostly-true,"Obama says McCain went to Bermuda and ""pledged to protect tax breaks for American corporations that hide their profits offshore.""",obama says mccain went to bermuda and pledged to protect tax breaks for american corporations that hide their profits offshore,3,1
mostly-true,Says Texas is last in mental health expenditures.,says texas is last in mental health expenditures,3,1
false,Says Rob Portman even voted to allow people on the terrorism watch list to buy guns.,says rob portman even voted to allow people on the terrorism watch list to buy guns,1,0
mostly-true,Says the Obama Administration has fulfilled all of Texas requests for fire management assisting grants.,says the obama administration has fulfilled all of texas requests for fire management assisting grants,3,1
mostly-true,Says federal debt doubled during the Bush administration.,says federal debt doubled during the bush administration,3,1
pants-fire,"The administration raises revenue for nationalized health care through a series of new taxes, including a light switch tax that would cost every American household $3,128 a year.",the administration raises revenue for nationalized health care through a series of new taxes including a light switch tax that would cost every american household  a year,4,0
mostly-true,Offshore wind power is significantly less expensive than solar energy.,offshore wind power is significantly less expensive than solar energy,3,1
pants-fire,The Constitution simply does not authorize the federal government to own any of this land (in the Western states).,the constitution simply does not authorize the federal government to own any of this land in the western states,4,0
mostly-true,"Says $800,000 cost of Texas special legislative session would pay for 1.6 million condoms, 90,000 months of the pill or 20 full-time sexual health educators.",says  cost of texas special legislative session would pay for  million condoms  months of the pill or  fulltime sexual health educators,3,1
mostly-true,"(Deborah) Ross defends those who want to burn the American flag, and even called efforts to ban flag-burning ridiculous, yet refused to help a disabled veteran fly the flag.",deborah ross defends those who want to burn the american flag and even called efforts to ban flagburning ridiculous yet refused to help a disabled veteran fly the flag,3,1
half-true,Texas agriculture is at 98 percent efficiency in water use and just about maxed out as to what we can do on the conservation end of it.,texas agriculture is at  percent efficiency in water use and just about maxed out as to what we can do on the conservation end of it,2,1
mostly-true,An estimated 56 million Americans don't have bank accounts.,an estimated  million americans dont have bank accounts,3,1
half-true,Our president has labeled Americans as soft.,our president has labeled americans as soft,2,1
false,ISIS leader Abu Bakr al Baghdadi was released by Obama in 2009.,isis leader abu bakr al baghdadi was released by obama in,1,0
true,The NRA used to support expanded background checks.,the nra used to support expanded background checks,5,1
half-true,Going to public financing really disadvantages Democrats because you're not able to raise funds between the day you win the primaries and the time you're officially nominated.,going to public financing really disadvantages democrats because youre not able to raise funds between the day you win the primaries and the time youre officially nominated,2,1
mostly-true,"[E]mployment in Gwinnett is up more than 3 percent over last year, and unemployment is the lowest of the five core metro counties.",employment in gwinnett is up more than  percent over last year and unemployment is the lowest of the five core metro counties,3,1
barely-true,The average minimum wage worker is 35 years old.,the average minimum wage worker is  years old,0,0
pants-fire,Ive been outspent by my opponents every time Ive run for U.S. Senate.,ive been outspent by my opponents every time ive run for us senate,4,0
false,"In the history of Republican primaries, Ive gotten the most votes in the history of the Republican party.",in the history of republican primaries ive gotten the most votes in the history of the republican party,1,0
pants-fire,"The Massachusetts Supreme Court...defined marriage as simply, quote,the establishment of intimacy ... I guess that would mean if you really had affection for your horse, I guess you could marry your horse.",the massachusetts supreme courtdefined marriage as simply quotethe establishment of intimacy  i guess that would mean if you really had affection for your horse i guess you could marry your horse,4,0
barely-true,"The federal health care plan ""costs Texas taxpayers $2.4 billion per year.""",the federal health care plan costs texas taxpayers  billion per year,0,0
false,"When the New Hampshire Legislature raised the gasoline tax, gas prices in the state were skyrocketing.",when the new hampshire legislature raised the gasoline tax gas prices in the state were skyrocketing,1,0
mostly-true,Social Security didnt cause the debt crisis. Social Security had nothing to do with the debt crisis.,social security didnt cause the debt crisis social security had nothing to do with the debt crisis,3,1
true,Says that in the U.S. House of Representatives weve had bipartisan support for the repeal of Obamacare for getting rid of cap and trade for building the Keystone Pipeline.,says that in the us house of representatives weve had bipartisan support for the repeal of obamacare for getting rid of cap and trade for building the keystone pipeline,5,1
false,"We will spend $100 billion in Afghanistan this year, fixing roads, building bridges, training police officers, and more, [and] cutting the same things in our own country.",we will spend  billion in afghanistan this year fixing roads building bridges training police officers and more and cutting the same things in our own country,1,0
barely-true,The war in Iraq was a major factor in blowing the top off the price of oil.,the war in iraq was a major factor in blowing the top off the price of oil,0,0
barely-true,This type of mass violence does not happen in other advanced countries. It doesnt happen in other places with this kind of frequency.,this type of mass violence does not happen in other advanced countries it doesnt happen in other places with this kind of frequency,0,0
pants-fire,Says Mitt Romney did not pay taxes for 10 years.,says mitt romney did not pay taxes for  years,4,0
barely-true,"A ""massive"" federal computer network will make your medical records available to ""millions of people"" with a ""complete lack of privacy and confidentiality,"" while doctors and hospitals who don't take part face ""stiff penalties.""",a massive federal computer network will make your medical records available to millions of people with a complete lack of privacy and confidentiality while doctors and hospitals who dont take part face stiff penalties,0,0
true,Wrong precinct rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.,wrong precinct rules exacerbate our provisional ballot problems and hb  does nothing to solve the wrongprecinct problem,5,1
true,Says Donald Trump used undocumented labor to build the Trump Tower.,says donald trump used undocumented labor to build the trump tower,5,1
pants-fire,Says Gov. Scott Walker has been rated Americas most factually-challenged politician.,says gov scott walker has been rated americas most factuallychallenged politician,4,0
true,Sharron Angle would eliminate the Department of Education.,sharron angle would eliminate the department of education,5,1
mostly-true,An illegal immigrant who gains admission at a public college takes class space away from students who are legal residents.,an illegal immigrant who gains admission at a public college takes class space away from students who are legal residents,3,1
false,On whether BPs $20 billion fund to compensate oil spill victims is a slush fund.,on whether bps  billion fund to compensate oil spill victims is a slush fund,1,0
false,On in-state tuition for illegal immigrants.,on instate tuition for illegal immigrants,1,0
pants-fire,Says Jacky Rosen has refused to tell us whether she supports Bernie Sanders or Hillary Clinton.,says jacky rosen has refused to tell us whether she supports bernie sanders or hillary clinton,4,0
true,The five economic indicators that the federal government tracks - for the first time since August 2006 - were positive this October.,the five economic indicators that the federal government tracks  for the first time since august   were positive this october,5,1
half-true,Medicare has at least $80 billion worth of fraud a year. That's a full 20 percent of every dollar that's spent on Medicare goes to fraud.,medicare has at least  billion worth of fraud a year thats a full  percent of every dollar thats spent on medicare goes to fraud,2,1
barely-true,"In slashing $1.7 billion from Social Security, Rep. Jim Renacci may end up forcing the entire agency to ... shut down for a month, causing seniors to not get their benefits on time, halting claims processing, and forcing new retirees and disabled workers into a backlog.",in slashing  billion from social security rep jim renacci may end up forcing the entire agency to  shut down for a month causing seniors to not get their benefits on time halting claims processing and forcing new retirees and disabled workers into a backlog,0,0
barely-true,"Says Sen. Bill Nelson voted to spend $144,541 to see how monkeys react under the influence of cocaine.",says sen bill nelson voted to spend  to see how monkeys react under the influence of cocaine,0,0
false,What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.,what were the old annual deficits under republicans have now become the monthly deficits under democrats,1,0
mostly-true,Says(President) Reagans second inaugural was moved inside the Capitol. It was. Because of a terrible snowstorm.,sayspresident reagans second inaugural was moved inside the capitol it was because of a terrible snowstorm,3,1
true,"Says a poll shows that without a name attached, Democrats are just one point behind Gov. John Kasich.",says a poll shows that without a name attached democrats are just one point behind gov john kasich,5,1
half-true,There were more people at the Air and Space Museum than at a rally against the health care bills.,there were more people at the air and space museum than at a rally against the health care bills,2,1
half-true,People for the Ethical Treatment of Animals estimates 200 animals will be spared annually as the result of former President Bill Clinton adopting a vegan diet.,people for the ethical treatment of animals estimates  animals will be spared annually as the result of former president bill clinton adopting a vegan diet,2,1
pants-fire,Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.,says texas did not bail out a loan program he oversaw as state agriculture commissioner,4,0
false,We spend almost twice as much per capita on health care as do the people of any other country.,we spend almost twice as much per capita on health care as do the people of any other country,1,0
false,On repealing the 17th Amendment,on repealing the th amendment,1,0
half-true,"Says Bruce Starr voted to throw 6,000 Oregonians off unemployment.",says bruce starr voted to throw  oregonians off unemployment,2,1
half-true,We need to pass a carbon tax to stop climate change. Break up the Wall Street banks. And stop the government spying on innocent Americans. Cory Booker doesnt support any of these ideas.,we need to pass a carbon tax to stop climate change break up the wall street banks and stop the government spying on innocent americans cory booker doesnt support any of these ideas,2,1
pants-fire,"Says while serving in the city council, Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China.",says while serving in the city council rachel zenzinger voted to use tax dollars to take a taxpayerfunded junket to china,4,0
mostly-true,"The governor is trying to take credit for recent actions taken by these companies. The problem is that for all three companies, the decision to move or stay in New Jersey happened before Chris Christie became governor.",the governor is trying to take credit for recent actions taken by these companies the problem is that for all three companies the decision to move or stay in new jersey happened before chris christie became governor,3,1
true,My property taxes went down largely because my technical college portion went down 35.5% because of the money we put in at state.,my property taxes went down largely because my technical college portion went down  because of the money we put in at state,5,1
half-true,"Says more than 1 million Texans are jobless, the state has its highest unemployment rate in more than 20 years and joblessness doubled on Rick Perrys watch.",says more than  million texans are jobless the state has its highest unemployment rate in more than  years and joblessness doubled on rick perrys watch,2,1
mostly-true,"He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate.",he has asked for million of earmark porkbarrel spending nearly a million dollars for every day that hes been in the united states senate,3,1
mostly-true,"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States.""",canada does spills into their water to practice in the event that this would happen that is not allowed in the united states,3,1
false,"Lots of studies seem to indicate that minors find it very easy to get marijuana, easier than to get alcohol.",lots of studies seem to indicate that minors find it very easy to get marijuana easier than to get alcohol,1,0
mostly-true,"The geography of poverty has changed fundamentally in the last 15 years, with more of it concentrated in fragile and conflict states.",the geography of poverty has changed fundamentally in the last  years with more of it concentrated in fragile and conflict states,3,1
half-true,"Russia has tremendous numbers of nuclear warheads 1,800, by the way where they expanded, and we didnt.",russia has tremendous numbers of nuclear warheads  by the way where they expanded and we didnt,2,1
mostly-true,"For every dollar we invest in Head Start, we get $5 to $7 back into our economy.",for every dollar we invest in head start we get  to  back into our economy,3,1
false,Says President Obamas decision to not issue a permit for the Keystone XL pipeline meant we were denied the ability immediately to reduce prices at the pump.,says president obamas decision to not issue a permit for the keystone xl pipeline meant we were denied the ability immediately to reduce prices at the pump,1,0
true,Says she is the subject of 60 books.,says she is the subject of  books,5,1
half-true,Seven out of the 10 states with the lowest unemployment rates (have) Republican governors That approach that Republicans are using is working.,seven out of the  states with the lowest unemployment rates have republican governors that approach that republicans are using is working,2,1
true,"In writing his book, Gov. Perry pointed out that by any measure Social Security has been a failure.",in writing his book gov perry pointed out that by any measure social security has been a failure,5,1
pants-fire,The stimulus created zero jobs.,the stimulus created zero jobs,4,0
false,The health care law reduces the number of uninsured in America by 3 percent for how much money? $2 trillion.,the health care law reduces the number of uninsured in america by  percent for how much money  trillion,1,0
false,We import more oil today than ever before.,we import more oil today than ever before,1,0
true,"Will Hurd tends to have a 96 percent straight Republican, straight party voting record.",will hurd tends to have a  percent straight republican straight party voting record,5,1
mostly-true,Says Chris Christie vetoed Planned Parenthood funding five times over the course of his governorship.,says chris christie vetoed planned parenthood funding five times over the course of his governorship,3,1
true,Greece is not a big economy. Its about the size of metropolitan Miami.,greece is not a big economy its about the size of metropolitan miami,5,1
mostly-true,Ive cut the budget of the (lieutenant governors) office by more than half.,ive cut the budget of the lieutenant governors office by more than half,3,1
true,Forty cents of every dollar being spent by the federal government is being borrowed from my children.,forty cents of every dollar being spent by the federal government is being borrowed from my children,5,1
true,Cigarette butts poison babies and small children because of the nicotine in them.,cigarette butts poison babies and small children because of the nicotine in them,5,1
barely-true,"One of the things I would immediately do is bring back the warrior class -- Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didnt want to hear.",one of the things i would immediately do is bring back the warrior class  petraeus mcchrystal mattis keane flynn  every one was retired early because they told president obama things that he didnt want to hear,0,0
pants-fire,"Says under his budget-repair bill, collective bargaining is fully intact.",says under his budgetrepair bill collective bargaining is fully intact,4,0
true,"Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months.",since i took office over  new private sector jobs have been created in georgia with nearly  of those coming in the past  months,5,1
mostly-true,And it's going to be difficult for us to do this as long as we're spending $275 million a day on a war that should have never been authorized...,and its going to be difficult for us to do this as long as were spending  million a day on a war that should have never been authorized,3,1
half-true,"Today in Selma, Ala., the poverty rate is roughly nine times that of whites.",today in selma ala the poverty rate is roughly nine times that of whites,2,1
false,Says President Obama was proposing pinprick strikes for military intervention in Syria.,says president obama was proposing pinprick strikes for military intervention in syria,1,0
false,Says there are no political prisoners in Cuba.,says there are no political prisoners in cuba,1,0
pants-fire,Says Illinois Democrat David Gill would end Medicare.,says illinois democrat david gill would end medicare,4,0
true,"First, he said he would leave residual forces in Iraq, and now he says he wouldn't.",first he said he would leave residual forces in iraq and now he says he wouldnt,5,1
half-true,Says last year the graduation rate for our combined six-district footprint jumped 5.5 percent.,says last year the graduation rate for our combined sixdistrict footprint jumped  percent,2,1
mostly-true,"President Obama's own director of national intelligence, Admiral Blair, put it this way: 'High-value information came from interrogations in which those methods were used and provided a deeper understanding of the al-Qaida organization that was attacking this country.'",president obamas own director of national intelligence admiral blair put it this way highvalue information came from interrogations in which those methods were used and provided a deeper understanding of the alqaida organization that was attacking this country,3,1
mostly-true,"When he (Donald Trump) asked Florida to have casino gambling, we said no.",when he donald trump asked florida to have casino gambling we said no,3,1
half-true,Milwaukee police use deadly force at a rate that is among the lowest in the country.,milwaukee police use deadly force at a rate that is among the lowest in the country,2,1
true,"When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now.",when sen edwards ran in  he wasnt for universal health care im glad he is now,5,1
mostly-true,Says Barbara Buono voted to raise her own pay 40 percent.,says barbara buono voted to raise her own pay  percent,3,1
barely-true,Says Texas has the most uninsured people of any state -- 6 million.,says texas has the most uninsured people of any state   million,0,0
mostly-true,Ill be running against a career politician.,ill be running against a career politician,3,1
true,Says Multnomah County libraries are open 44 hours per week the lowest of any library in the four-county region.,says multnomah county libraries are open  hours per week the lowest of any library in the fourcounty region,5,1
true,Says Mike Huckabee appeared in diabetes infomercials to endorse cures and treatments that no health agency supports.,says mike huckabee appeared in diabetes infomercials to endorse cures and treatments that no health agency supports,5,1
false,"Says EPA regulation of greenhouse gases will endanger 575 Texas dairy facilities, 58 swine operations, 1,300 corn farms and 28,000 beef cattle operations.",says epa regulation of greenhouse gases will endanger  texas dairy facilities  swine operations  corn farms and  beef cattle operations,1,0
pants-fire,Facebook has unveiled new rules to stop their users from creatingposts related in any way to religion.,facebook has unveiled new rules to stop their users from creatingposts related in any way to religion,4,0
pants-fire,"The Democrats are very sly. (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, theyre busing them in all over the place.",the democrats are very sly in new hampshire we have same day voter registration and to be honest when massachusetts elections are not very close theyre busing them in all over the place,4,0
half-true,California has added twice as many jobs as Florida over the past year.,california has added twice as many jobs as florida over the past year,2,1
mostly-true,"In the past two years in Congress, Ive written more bills, passed more amendments on the floor of the House and enacted more of my bills into law than any other member of the House.",in the past two years in congress ive written more bills passed more amendments on the floor of the house and enacted more of my bills into law than any other member of the house,3,1
barely-true,"Says Travis County Commissioner Gerald Daugherty claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent.",says travis county commissioner gerald daugherty claims to have taken a pay cut but for  he voted to raise his salary by  percent,0,0
false,"The Employment Non-Discrimination Act discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom.",the employment nondiscrimination act discriminates against christian daycare christian parents christian business owners and the rights of religious freedom,1,0
true,"Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent.",now i also support the bush tax cuts sen mccain voted against them originally he now believes they should be made permanent im glad he agrees they should be made permanent,5,1
mostly-true,Irans defense budget is $30 billion. Our defense budget is closer to $600 billion.,irans defense budget is  billion our defense budget is closer to  billion,3,1
half-true,Brookhaven homeowners pay hundreds of dollars less in property taxes compared with owners of the same-value homes in unincorporated DeKalb County.,brookhaven homeowners pay hundreds of dollars less in property taxes compared with owners of the samevalue homes in unincorporated dekalb county,2,1
true,The mosquito population in South Florida is larger than it is in many other communities in the country.,the mosquito population in south florida is larger than it is in many other communities in the country,5,1
half-true,Says health insurance premiums will rise under Obamacare.,says health insurance premiums will rise under obamacare,2,1
mostly-true,"Says Erv Nelson voted yes on the pro-amnesty SJR 21, a bill urgingCongress to provide citizenship for those residing illegally in our country.",says erv nelson voted yes on the proamnesty sjr  a bill urgingcongress to provide citizenship for those residing illegally in our country,3,1
mostly-true,Virginia is the number one state per capita in screening out people with mental illness from gun purchases.,virginia is the number one state per capita in screening out people with mental illness from gun purchases,3,1
half-true,Missouri is the state with the lowest paid workers.,missouri is the state with the lowest paid workers,2,1
mostly-true,"The average student loan debt in Texas is over $22,000...the cost of an average size pickup truck. But unlike car owners, students are not allowed to refinance their loans at lower rates.",the average student loan debt in texas is over the cost of an average size pickup truck but unlike car owners students are not allowed to refinance their loans at lower rates,3,1
mostly-true,Says Rick Scotts proposal for election reform only mandates 48 hours of early voting.,says rick scotts proposal for election reform only mandates  hours of early voting,3,1
half-true,On whether the state should ramp up borrowing to build roads.,on whether the state should ramp up borrowing to build roads,2,1
mostly-true,People think AIDS is done --its not done.,people think aids is done its not done,3,1
half-true,Electricity rates are 40 percent higher in states that have required utility companies to use a certain amount of renewable energy such as solar power.,electricity rates are  percent higher in states that have required utility companies to use a certain amount of renewable energy such as solar power,2,1
mostly-true,"South Carolina has a labor shortage, specifically in the meatpacking industry.",south carolina has a labor shortage specifically in the meatpacking industry,3,1
true,"When the City and the Fairmount Park Conservancy invested $5 million in Hunting Park, crime went down 89 percent within a half mile radius of the park over the next three years.",when the city and the fairmount park conservancy invested  million in hunting park crime went down  percent within a half mile radius of the park over the next three years,5,1
mostly-true,"On day one, six people were able to sign up for health insurance through the federal marketplace.",on day one six people were able to sign up for health insurance through the federal marketplace,3,1
true,Lets start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.,lets start with the premise that rhode island already has one of the  strictest gun laws amongst all the states,5,1
barely-true,"Says that in her speech to the pro-Israel group AIPAC, Hillary Clinton had one line on the Palestinian people.",says that in her speech to the proisrael group aipac hillary clinton had one line on the palestinian people,0,0
true,"Says in our region, 2011 was worst drought year ever recorded.",says in our region  was worst drought year ever recorded,5,1
false,"In the 1980s, The lowest income people had the biggest gains.",in the s the lowest income people had the biggest gains,1,0
half-true,Florida has issued more than 3 million conceal carry permits in the past 30 years. Only 168 have been revoked.,florida has issued more than  million conceal carry permits in the past  years only  have been revoked,2,1
false,"For every one job created under the Obama administration, 75 people went on food stamps.",for every one job created under the obama administration  people went on food stamps,1,0
barely-true,"Says that after she declared her candidacy for Congress, the redistricting process was manipulated to allow incumbent politicians to guarantee their re-election.",says that after she declared her candidacy for congress the redistricting process was manipulated to allow incumbent politicians to guarantee their reelection,0,0
half-true,Says Chris Koster opposes right-to-work efforts because he has taken $8 million from union bosses.,says chris koster opposes righttowork efforts because he has taken  million from union bosses,2,1
half-true,Says Bush Jr. handed Obama a $1.4 trillion deficit and Obama reduced Bush Jr.s deficit to just $492 billion.,says bush jr handed obama a  trillion deficit and obama reduced bush jrs deficit to just  billion,2,1
half-true,Says President Barack Obama made unilateral changes to Obamacare 38 times.,says president barack obama made unilateral changes to obamacare  times,2,1
barely-true,Broward Countys unemployment rate of 5.3 percent is the lowest in Florida.,broward countys unemployment rate of  percent is the lowest in florida,0,0
half-true,Obamacare could force thousands of volunteer fire stations to cut service or close entirely!,obamacare could force thousands of volunteer fire stations to cut service or close entirely,2,1
barely-true,The Wisconsin Retirement System for public employees is a self-funded pension plan and its the money of the workers that funds it.,the wisconsin retirement system for public employees is a selffunded pension plan and its the money of the workers that funds it,0,0
barely-true,Ninety-five percent of the money used for union-operated worker training centers comes from employers.,ninetyfive percent of the money used for unionoperated worker training centers comes from employers,0,0
true,"If we got solar energy from an area of the Southwestern desert 100 miles on a side, that would be enough, in and of itself, to provide 100 percent of all the electricity needs for the United States of America in a full year.",if we got solar energy from an area of the southwestern desert  miles on a side that would be enough in and of itself to provide  percent of all the electricity needs for the united states of america in a full year,5,1
barely-true,"I helped pass what, if enacted, would be the largest tax cut in Texas history through the State Senate.",i helped pass what if enacted would be the largest tax cut in texas history through the state senate,0,0
barely-true,"Under Ryan plan,those 54 and younger would receive the same kind of healthcare options now enjoyed by members of Congress.",under ryan planthose  and younger would receive the same kind of healthcare options now enjoyed by members of congress,0,0
true,Says Bernie Sanders was there when it came to (same-sex) marriage 20 years ago. ... He was there when it wasnt popular.,says bernie sanders was there when it came to samesex marriage  years ago  he was there when it wasnt popular,5,1
mostly-true,David Dewhurst is the first lieutenant governor in history to have a personal security detail.,david dewhurst is the first lieutenant governor in history to have a personal security detail,3,1
false,The administration has issued rules for $1 abortions in ObamaCare and requires all persons enrolled in insurance plans that include elective abortion coverage to pay an abortion premium.,the administration has issued rules for  abortions in obamacare and requires all persons enrolled in insurance plans that include elective abortion coverage to pay an abortion premium,1,0
barely-true,Overwhelming Democrat and Republican votes in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.,overwhelming democrat and republican votes in  for legislation in two special sessions on jobs demonstrated the bipartisan nature of the wisconsin legislature,0,0
false,Says Gov. Rick Perry has never held a private-sector job.,says gov rick perry has never held a privatesector job,1,0
barely-true,Says President Obama promised hed keep unemployment below 8 percent if the stimulus passed.,says president obama promised hed keep unemployment below  percent if the stimulus passed,0,0
half-true,Says Indiana Gov. Mike Pence advocated diverting taxpayer dollars to so-called conversion therapy.,says indiana gov mike pence advocated diverting taxpayer dollars to socalled conversion therapy,2,1
half-true,"Says Ted Cruz has pledged to eliminate the U.S. Department of Education, which would end federal aid to college students.",says ted cruz has pledged to eliminate the us department of education which would end federal aid to college students,2,1
mostly-true,We are in the bottom 10 in dollars in the classroom and the top 10 in dollars in the bureaucracy and red tape.,we are in the bottom  in dollars in the classroom and the top  in dollars in the bureaucracy and red tape,3,1
barely-true,"With 320,000 net Ohio manufacturing jobs lost, (Sen. Rob) Portman calls NAFTA a proven success.",with  net ohio manufacturing jobs lost sen rob portman calls nafta a proven success,0,0
mostly-true,Kathryn Starkey only attended half of those meetings.,kathryn starkey only attended half of those meetings,3,1
false,Illegal immigration costs state taxpayers over $3 billion every year.,illegal immigration costs state taxpayers over  billion every year,1,0
false,"Says a liberal immigration reform group endorsed his GOP primary opponent, Dave Brat.",says a liberal immigration reform group endorsed his gop primary opponent dave brat,1,0
false,Welders make more money than philosophers.,welders make more money than philosophers,1,0
true,Teddy Roosevelt first called for (health care) reform nearly a century ago.,teddy roosevelt first called for health care reform nearly a century ago,5,1
barely-true,Says Mike Dovilla supports a plan that could allow a foreign corporation to take over the Ohio Turnpike ,says mike dovilla supports a plan that could allow a foreign corporation to take over the ohio turnpike,0,0
true,"Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida.""",charlie crist broke the quarter record for fundraising in a us senate race in florida,5,1
barely-true,The Murray-Ryan deal is the first divided-government budget agreement since 1986.,the murrayryan deal is the first dividedgovernment budget agreement since,0,0
false,The American people spoke pretty loudly. They said stop all the looming tax hikes....,the american people spoke pretty loudly they said stop all the looming tax hikes,1,0
false,"For the hour after the (Jan. 14) debate, Debra Medina was the No. 1 search on Google and for the remainder of that night No. 3.",for the hour after the jan  debate debra medina was the no  search on google and for the remainder of that night no,1,0
half-true,"Says state budget deal between Texas House and Senate leaders funds nursing homes, our public schools and universities and provides financial aid for college students.",says state budget deal between texas house and senate leaders funds nursing homes our public schools and universities and provides financial aid for college students,2,1
true,"When (John) Brennan ... was asked directly Is there any geographic limitation to your drone strike program? Brennan responded and said, no, there is no limitation.",when john brennan  was asked directly is there any geographic limitation to your drone strike program brennan responded and said no there is no limitation,5,1
true,"Says Time magazine called him ""one of America's best governors.""",says time magazine called him one of americas best governors,5,1
true,On supporting the Supreme Court abortion decision Roe v. Wade,on supporting the supreme court abortion decision roe v wade,5,1
false,After four years of a celebrity president 85% (of recent college grads are) moving back in with their parents.,after four years of a celebrity president  of recent college grads are moving back in with their parents,1,0
barely-true,Hispanic unemployment has been ticking down from an all-time high of 13.9 percent because of the policies weve implemented.,hispanic unemployment has been ticking down from an alltime high of  percent because of the policies weve implemented,0,0
half-true,Says Rick Perry co-chaired Al Gores campaign for president.,says rick perry cochaired al gores campaign for president,2,1
false,I was totally against the war in Iraq.,i was totally against the war in iraq,1,0
true,"There have been literally hundreds of new tax preferences and loopholes added to the code since 1986, last time we did this.",there have been literally hundreds of new tax preferences and loopholes added to the code since  last time we did this,5,1
false,Says Suzanne Bonamici supports the $500 billion cut to Medicare passed last year.,says suzanne bonamici supports the  billion cut to medicare passed last year,1,0
barely-true,Gas will reach $4 a gallon under a cap-and-trade plan.,gas will reach  a gallon under a capandtrade plan,0,0
barely-true,Were losing as many people to heroin and opioid overdoses as we lost to the AIDS epidemic at its peak.,were losing as many people to heroin and opioid overdoses as we lost to the aids epidemic at its peak,0,0
